Subject,Control,Complexity,MDP_r
01,none,low,6.5577872254957414
01,waypoint,low,8.079959694446266
01,directergodic,low,1.1597551430684994
01,sharedergodic,low,1.7316521710013286
01,autoergodic,low,7.384398884613419
01,none,high,1.5278328805741657
01,waypoint,high,9.405155735237775
01,directergodic,high,3.693654674796994
01,sharedergodic,high,5.823368931725172
01,autoergodic,high,2.1863097087095733
08,none,low,0.48621690347108915
08,waypoint,low,0.4939988331347589
08,directergodic,low,3.928094772464097
08,sharedergodic,low,3.452641674079147
08,autoergodic,low,6.944104354481469
08,none,high,9.697501803624995
08,waypoint,high,1.0288271823949025
08,directergodic,high,7.0827636572469705
08,sharedergodic,high,9.022928650465204
08,autoergodic,high,6.778805080836943
09,none,low,0.2596305423234262
09,directergodic,low,12.913393590332765
09,sharedergodic,low,5.250501356464624
09,autoergodic,low,0.2775919334183621
09,none,high,0.9251282432196473
09,waypoint,high,1.2570555770315317
09,directergodic,high,0.7810270815326855
09,sharedergodic,high,2.0676073992321937
09,autoergodic,high,3.916195398113169
11,none,low,7.781367715803991
11,waypoint,low,16.689567049186675
11,directergodic,low,2.41797780254811
11,sharedergodic,low,12.810764464722833
11,autoergodic,low,9.505411409572268
11,none,high,10.193108170907122
11,waypoint,high,7.5239502507043605
11,directergodic,high,3.3131646287792504
11,sharedergodic,high,3.0284367190666206
13,none,low,13.979946486402486
13,waypoint,low,6.294975617020361
13,directergodic,low,3.366075566007096
13,sharedergodic,low,5.126824068979225
13,autoergodic,low,5.062277404164877
13,none,high,5.195202562353134
13,waypoint,high,1.006890343747512
13,directergodic,high,1.9285176910420638
13,sharedergodic,high,1.2827217502628772
13,autoergodic,high,1.3412925230690411
14,none,low,0.7810091158246306
14,waypoint,low,2.0320615779262727
14,directergodic,low,4.524177855829448
14,sharedergodic,low,3.0956984967779526
14,autoergodic,low,1.482482649642857
14,none,high,16.895606469239013
14,waypoint,high,2.1340901675657635
14,directergodic,high,0.7952289106629352
14,sharedergodic,high,5.320156296661956
14,autoergodic,high,1.28575793929315
15,none,low,0.8570363593899909
15,directergodic,low,0.5325799943729393
15,sharedergodic,low,1.1102230246251565e-16
15,autoergodic,low,3.6035809900601072
15,none,high,3.8928190922055985
15,waypoint,high,0.20067611153400422
15,directergodic,high,3.358315842032133
15,sharedergodic,high,4.04201465443386
15,autoergodic,high,0.6392943550952266
17,none,low,1.3235314362249588
17,waypoint,low,5.086328544917178
17,directergodic,low,7.060856246566875
17,sharedergodic,low,2.15222037695606
17,autoergodic,low,4.321845564634289
17,none,high,4.228195358437464
17,waypoint,high,10.831251925310633
17,directergodic,high,1.761612853932021
17,sharedergodic,high,1.1102230246251565e-16
17,autoergodic,high,5.210198825273594
