Subject,Control,Complexity,Num_A,Num_sim,Intersection_time,Regret
20,none,low,3,1,29,0.0
20,none,low,3,2,29,0.0
20,none,low,3,3,29,0.0
20,none,low,3,4,29,0.0
20,none,low,3,6,29,0.0
20,none,low,3,7,29,0.0
20,none,low,3,9,29,0.0
20,none,low,3,12,29,0.02354730462850567
20,none,low,3,16,29,0.02354730462850567
20,none,low,3,20,29,0.02354730462850567
20,none,low,3,26,29,0.02354730462850567
20,none,low,3,33,29,0.22756156429138363
20,none,low,3,43,29,0.22756156429138363
20,none,low,3,55,29,0.22756156429138363
20,none,low,3,70,29,0.2237724435029066
20,none,low,3,90,29,0.23468160573907404
20,none,low,3,116,29,0.2237724435029066
20,none,low,3,148,29,0.22377244350290654
20,none,low,3,191,29,0.0
20,none,low,3,245,29,0.0
20,none,low,3,314,29,0.2237724435029066
20,none,low,3,403,29,0.22377244350290657
20,none,low,3,518,29,0.22377244350290665
20,none,low,3,665,29,0.22377244350290662
20,none,low,3,854,29,0.21986006853306336
20,none,low,3,1097,29,0.15575750443049924
20,none,low,3,1408,29,0.1140908377638325
20,none,low,3,1808,29,0.09623369490668962
20,none,low,3,2322,29,0.07242417109716581
20,none,low,3,2981,29,0.1286257214847627
20,none,low,3,3828,29,0.1692269889574517
20,none,low,3,4915,29,0.18151892237614559
20,none,low,3,6311,29,0.16061454876606396
20,none,low,3,8103,29,0.1761533958838587
20,none,low,4,1,29,49.8377318263246
20,none,low,4,2,29,49.8377318263246
20,none,low,4,3,29,49.8377318263246
20,none,low,4,4,29,0.0
20,none,low,4,6,29,0.0
20,none,low,4,7,29,0.0
20,none,low,4,9,29,0.0
20,none,low,4,12,29,0.0
20,none,low,4,16,29,0.0
20,none,low,4,20,29,0.0
20,none,low,4,26,29,0.0
20,none,low,4,33,29,0.0
20,none,low,4,43,29,0.0
20,none,low,4,55,29,0.0
20,none,low,4,70,29,0.0
20,none,low,4,90,29,0.0
20,none,low,4,116,29,0.0
20,none,low,4,148,29,0.0
20,none,low,4,191,29,0.0
20,none,low,4,245,29,0.0
20,none,low,4,314,29,0.0
20,none,low,4,403,29,0.0
20,none,low,4,518,29,0.0
20,none,low,4,665,29,0.0
20,none,low,4,854,29,0.0
20,none,low,4,1097,29,0.0
20,none,low,4,1408,29,0.0
20,none,low,4,1808,29,0.0
20,none,low,4,2322,29,0.0
20,none,low,4,2981,29,0.1786036687508495
20,none,low,4,3828,29,0.1786036687508495
20,none,low,4,4915,29,0.16747180269215248
20,none,low,4,6311,29,0.04816888614215398
20,none,low,4,8103,29,0.04816888614215406
20,none,low,4,10405,29,0.0876945778417588
20,none,low,4,13360,29,0.07921105818698443
20,none,low,5,1,29,49.761212462341234
20,none,low,5,2,29,0.0
20,none,low,5,3,29,0.0
20,none,low,5,4,29,0.0
20,none,low,5,6,29,0.0
20,none,low,5,7,29,0.0
20,none,low,5,9,29,0.0
20,none,low,5,12,29,0.0
20,none,low,5,16,29,0.0
20,none,low,5,20,29,0.0
20,none,low,5,26,29,0.0
20,none,low,5,33,29,0.0
20,none,low,5,43,29,0.0
20,none,low,5,55,29,0.0
20,none,low,5,70,29,0.0
20,none,low,5,90,29,0.0
20,none,low,5,116,29,0.0
20,none,low,5,148,29,0.0
20,none,low,5,191,29,0.0
20,none,low,5,245,29,0.0
20,none,low,5,314,29,0.0
20,none,low,5,403,29,0.0
20,none,low,5,518,29,0.0
20,none,low,5,665,29,0.0
20,none,low,5,854,29,0.0
20,none,low,5,1097,29,0.0
20,none,low,5,1408,29,0.0
20,none,low,5,1808,29,0.0
20,none,low,5,2322,29,0.0
20,none,low,5,2981,29,0.0
20,none,low,5,3828,29,0.0
20,none,low,5,4915,29,1.1102230246251565e-16
20,none,low,5,6311,29,0.0
20,none,low,5,8103,29,0.0
20,none,low,5,10405,29,0.0
20,none,low,5,13360,29,0.0
20,none,low,6,1,29,49.4625719075771
20,none,low,6,2,29,49.90436232674422
20,none,low,6,3,29,49.90436232674422
20,none,low,6,4,29,49.91335965417121
20,none,low,6,6,29,50.19785074253776
20,none,low,6,7,29,0.48348350311644805
20,none,low,6,9,29,0.5068433418416963
20,none,low,6,12,29,0.5068433418416963
20,none,low,6,16,29,0.5083824076949417
20,none,low,6,20,29,0.5260666561291386
20,none,low,6,26,29,0.5260666561291386
20,none,low,6,33,29,0.5260666561291386
20,none,low,6,43,29,0.5260666561291386
20,none,low,6,55,29,0.5260666561291386
20,none,low,6,70,29,0.5260666561291386
20,none,low,6,90,29,0.3590070128095959
20,none,low,6,116,29,0.3590070128095959
20,none,low,6,148,29,0.22531156938024943
20,none,low,6,191,29,0.22531156938024943
20,none,low,6,245,29,0.22531156938024943
20,none,low,6,314,29,0.1968080904317665
20,none,low,6,403,29,0.1968080904317665
20,none,low,6,518,29,0.1968080904317665
20,none,low,6,665,29,0.1416395397093454
20,none,low,6,854,29,0.1416395397093454
20,none,low,6,1097,29,0.1416395397093454
20,none,low,6,1408,29,0.1416395397093454
20,none,low,6,1808,29,0.1416395397093454
20,none,low,6,2322,29,0.1416395397093454
20,none,low,6,2981,29,0.0
20,none,low,6,3828,29,0.0
20,none,low,6,4915,29,0.0
20,none,low,6,6311,29,0.0
20,none,low,6,8103,29,0.0
20,none,low,6,10405,29,0.0
20,none,low,6,13360,29,0.0
20,none,low,8,1,29,0.0
20,none,low,8,2,29,0.0
20,none,low,8,3,29,0.0
20,none,low,8,4,29,0.0
20,none,low,8,6,29,0.0
20,none,low,8,7,29,0.0
20,none,low,8,9,29,0.0
20,none,low,8,12,29,0.0
20,none,low,8,16,29,0.0
20,none,low,8,20,29,0.0
20,none,low,8,26,29,0.1416395397093454
20,none,low,8,33,29,0.1416395397093454
20,none,low,8,43,29,0.1416395397093454
20,none,low,8,55,29,0.1416395397093454
20,none,low,8,70,29,0.1416395397093454
20,none,low,8,90,29,0.1416395397093454
20,none,low,8,116,29,0.1416395397093454
20,none,low,8,148,29,0.1416395397093454
20,none,low,8,191,29,0.1416395397093454
20,none,low,8,245,29,0.1416395397093454
20,none,low,8,314,29,0.1416395397093454
20,none,low,8,403,29,0.1416395397093454
20,none,low,8,518,29,0.1416395397093454
20,none,low,8,665,29,0.0
20,none,low,8,854,29,0.0
20,none,low,8,1097,29,0.0
20,none,low,8,1408,29,0.0
20,none,low,8,1808,29,0.0
20,none,low,8,2322,29,0.0
20,none,low,8,2981,29,0.0
20,none,low,8,3828,29,0.0
20,none,low,8,4915,29,0.0
20,none,low,8,6311,29,0.0
20,none,low,8,8103,29,0.0
20,none,low,8,10405,29,0.0
20,none,low,8,13360,29,0.0
20,none,low,10,1,29,0.0
20,none,low,10,2,29,0.0
20,none,low,10,3,29,0.0
20,none,low,10,4,29,0.0
20,none,low,10,6,29,0.0
20,none,low,10,7,29,0.0
20,none,low,10,9,29,0.5641913332378425
20,none,low,10,12,29,0.12838882639105703
20,none,low,10,16,29,0.12838882639105703
20,none,low,10,20,29,0.12838882639105703
20,none,low,10,26,29,0.12838882639105703
20,none,low,10,33,29,0.12838882639105703
20,none,low,10,43,29,0.3792874278900752
20,none,low,10,55,29,0.3792874278900752
20,none,low,10,70,29,0.3792874278900752
20,none,low,10,90,29,0.3792874278900752
20,none,low,10,116,29,0.3792874278900752
20,none,low,10,148,29,0.3792874278900752
20,none,low,10,191,29,0.35888409790805953
20,none,low,10,245,29,0.35888409790805953
20,none,low,10,314,29,0.35888409790805953
20,none,low,10,403,29,0.0
20,none,low,10,518,29,0.0
20,none,low,10,665,29,0.0
20,none,low,10,854,29,0.0
20,none,low,10,1097,29,0.0
20,none,low,10,1408,29,0.0
20,none,low,10,1808,29,0.0
20,none,low,10,2322,29,0.0
20,none,low,10,2981,29,0.0
20,none,low,10,3828,29,0.0
20,none,low,10,4915,29,0.0
20,none,low,10,6311,29,0.0
20,none,low,10,8103,29,0.0
20,none,low,10,10405,29,0.0
20,none,low,10,13360,29,0.0
20,waypoint,low,3,1,193,49.816580792178485
20,waypoint,low,3,2,193,51.0
20,waypoint,low,3,3,193,51.0
20,waypoint,low,3,4,193,51.0
20,waypoint,low,3,6,193,51.0
20,waypoint,low,3,7,193,51.0
20,waypoint,low,3,9,193,51.0
20,waypoint,low,3,12,193,51.0
20,waypoint,low,3,16,193,1.2073419534007022
20,waypoint,low,3,20,193,1.2073419534007022
20,waypoint,low,3,26,193,1.2073419534007022
20,waypoint,low,3,33,193,1.197233680629693
20,waypoint,low,3,43,193,1.197233680629693
20,waypoint,low,3,55,193,0.9209129515390011
20,waypoint,low,3,70,193,0.9209129515390011
20,waypoint,low,3,90,193,0.9209129515390011
20,waypoint,low,3,116,193,0.9209129515390011
20,waypoint,low,3,148,193,0.9209129515390011
20,waypoint,low,3,191,193,0.9209129515390011
20,waypoint,low,3,245,193,0.9209129515390011
20,waypoint,low,3,314,193,0.9209129515390011
20,waypoint,low,3,403,193,0.9209129515390011
20,waypoint,low,3,518,193,0.9209129515390011
20,waypoint,low,3,665,193,0.9209129515390011
20,waypoint,low,3,854,193,0.9209129515390011
20,waypoint,low,3,1097,193,0.9209129515390011
20,waypoint,low,3,1408,193,0.9209129515390011
20,waypoint,low,3,1808,193,0.9209129515390011
20,waypoint,low,3,2322,193,0.9209129515390011
20,waypoint,low,3,2981,193,0.9209129515390012
20,waypoint,low,3,3828,193,0.9209129515390011
20,waypoint,low,3,4915,193,0.9209129515390011
20,waypoint,low,3,6311,193,0.9209129515390011
20,waypoint,low,3,8103,193,0.9209129515390012
20,waypoint,low,4,1,193,51.0
20,waypoint,low,4,2,193,51.0
20,waypoint,low,4,3,193,1.022436542228491
20,waypoint,low,4,4,193,1.022436542228491
20,waypoint,low,4,6,193,1.022436542228491
20,waypoint,low,4,7,193,1.022436542228491
20,waypoint,low,4,9,193,1.022436542228491
20,waypoint,low,4,12,193,0.0
20,waypoint,low,4,16,193,0.0
20,waypoint,low,4,20,193,0.0
20,waypoint,low,4,26,193,0.0
20,waypoint,low,4,33,193,0.0
20,waypoint,low,4,43,193,0.0
20,waypoint,low,4,55,193,0.0
20,waypoint,low,4,70,193,0.0
20,waypoint,low,4,90,193,0.0
20,waypoint,low,4,116,193,0.0
20,waypoint,low,4,148,193,0.0
20,waypoint,low,4,191,193,0.0
20,waypoint,low,4,245,193,0.0
20,waypoint,low,4,314,193,0.0
20,waypoint,low,4,403,193,0.0
20,waypoint,low,4,518,193,0.0
20,waypoint,low,4,665,193,0.0
20,waypoint,low,4,854,193,0.0
20,waypoint,low,4,1097,193,0.0
20,waypoint,low,4,1408,193,0.0
20,waypoint,low,4,1808,193,0.0
20,waypoint,low,4,2322,193,0.0
20,waypoint,low,4,2981,193,0.0
20,waypoint,low,4,3828,193,0.0
20,waypoint,low,4,4915,193,0.0
20,waypoint,low,4,6311,193,0.0
20,waypoint,low,4,8103,193,0.0
20,waypoint,low,4,10405,193,0.0
20,waypoint,low,4,13360,193,0.0
20,waypoint,low,5,1,193,50.115128573106254
20,waypoint,low,5,2,193,50.115128573106254
20,waypoint,low,5,3,193,51.0
20,waypoint,low,5,4,193,51.0
20,waypoint,low,5,6,193,51.0
20,waypoint,low,5,7,193,51.0
20,waypoint,low,5,9,193,51.0
20,waypoint,low,5,12,193,1.1070055122417195
20,waypoint,low,5,16,193,1.1070055122417195
20,waypoint,low,5,20,193,0.9209129515390011
20,waypoint,low,5,26,193,0.9209129515390011
20,waypoint,low,5,33,193,0.9209129515390011
20,waypoint,low,5,43,193,0.9209129515390011
20,waypoint,low,5,55,193,0.9209129515390011
20,waypoint,low,5,70,193,0.0
20,waypoint,low,5,90,193,0.0
20,waypoint,low,5,116,193,0.0
20,waypoint,low,5,148,193,0.0
20,waypoint,low,5,191,193,0.0
20,waypoint,low,5,245,193,0.0
20,waypoint,low,5,314,193,0.0
20,waypoint,low,5,403,193,0.0
20,waypoint,low,5,518,193,0.0
20,waypoint,low,5,665,193,0.0
20,waypoint,low,5,854,193,0.0
20,waypoint,low,5,1097,193,0.0
20,waypoint,low,5,1408,193,0.0
20,waypoint,low,5,1808,193,0.0
20,waypoint,low,5,2322,193,0.0
20,waypoint,low,5,2981,193,0.0
20,waypoint,low,5,3828,193,0.0
20,waypoint,low,5,4915,193,0.0
20,waypoint,low,5,6311,193,0.0
20,waypoint,low,5,8103,193,0.0
20,waypoint,low,5,10405,193,0.0
20,waypoint,low,5,13360,193,0.0
20,waypoint,low,6,1,193,49.35693130552623
20,waypoint,low,6,2,193,49.95303917401243
20,waypoint,low,6,3,193,0.0
20,waypoint,low,6,4,193,0.0
20,waypoint,low,6,6,193,0.908956565771559
20,waypoint,low,6,7,193,0.908956565771559
20,waypoint,low,6,9,193,0.908956565771559
20,waypoint,low,6,12,193,0.0
20,waypoint,low,6,16,193,0.0
20,waypoint,low,6,20,193,0.0
20,waypoint,low,6,26,193,0.0
20,waypoint,low,6,33,193,0.0
20,waypoint,low,6,43,193,0.0
20,waypoint,low,6,55,193,0.0
20,waypoint,low,6,70,193,0.0
20,waypoint,low,6,90,193,0.0
20,waypoint,low,6,116,193,0.0
20,waypoint,low,6,148,193,0.0
20,waypoint,low,6,191,193,0.0
20,waypoint,low,6,245,193,0.0
20,waypoint,low,6,314,193,0.0
20,waypoint,low,6,403,193,0.0
20,waypoint,low,6,518,193,0.0
20,waypoint,low,6,665,193,0.0
20,waypoint,low,6,854,193,0.0
20,waypoint,low,6,1097,193,0.0
20,waypoint,low,6,1408,193,0.0
20,waypoint,low,6,1808,193,0.0
20,waypoint,low,6,2322,193,0.0
20,waypoint,low,6,2981,193,0.0
20,waypoint,low,6,3828,193,0.0
20,waypoint,low,6,4915,193,0.0
20,waypoint,low,6,6311,193,0.0
20,waypoint,low,6,8103,193,0.0
20,waypoint,low,6,10405,193,0.0
20,waypoint,low,6,13360,193,0.0
20,waypoint,low,8,1,193,48.0
20,waypoint,low,8,2,193,50.0
20,waypoint,low,8,3,193,51.0
20,waypoint,low,8,4,193,51.0
20,waypoint,low,8,6,193,4.337704431762327
20,waypoint,low,8,7,193,4.337704431762327
20,waypoint,low,8,9,193,4.337704431762327
20,waypoint,low,8,12,193,4.337704431762327
20,waypoint,low,8,16,193,1.3102934184549409
20,waypoint,low,8,20,193,1.3102934184549409
20,waypoint,low,8,26,193,0.0
20,waypoint,low,8,33,193,0.0
20,waypoint,low,8,43,193,0.0
20,waypoint,low,8,55,193,0.0
20,waypoint,low,8,70,193,0.0
20,waypoint,low,8,90,193,0.0
20,waypoint,low,8,116,193,0.0
20,waypoint,low,8,148,193,0.0
20,waypoint,low,8,191,193,0.0
20,waypoint,low,8,245,193,0.0
20,waypoint,low,8,314,193,0.0
20,waypoint,low,8,403,193,0.0
20,waypoint,low,8,518,193,0.0
20,waypoint,low,8,665,193,0.0
20,waypoint,low,8,854,193,0.0
20,waypoint,low,8,1097,193,0.0
20,waypoint,low,8,1408,193,0.0
20,waypoint,low,8,1808,193,0.0
20,waypoint,low,8,2322,193,0.0
20,waypoint,low,8,2981,193,0.0
20,waypoint,low,8,3828,193,0.0
20,waypoint,low,8,4915,193,0.0
20,waypoint,low,8,6311,193,0.0
20,waypoint,low,8,8103,193,0.0
20,waypoint,low,8,10405,193,0.0
20,waypoint,low,8,13360,193,0.0
20,waypoint,low,10,1,193,49.66897452614907
20,waypoint,low,10,2,193,0.0
20,waypoint,low,10,3,193,0.0
20,waypoint,low,10,4,193,0.0
20,waypoint,low,10,6,193,0.0
20,waypoint,low,10,7,193,0.0
20,waypoint,low,10,9,193,0.0
20,waypoint,low,10,12,193,0.0
20,waypoint,low,10,16,193,0.0
20,waypoint,low,10,20,193,0.0
20,waypoint,low,10,26,193,0.0
20,waypoint,low,10,33,193,0.0
20,waypoint,low,10,43,193,0.0
20,waypoint,low,10,55,193,0.0
20,waypoint,low,10,70,193,0.0
20,waypoint,low,10,90,193,0.0
20,waypoint,low,10,116,193,0.0
20,waypoint,low,10,148,193,0.0
20,waypoint,low,10,191,193,0.0
20,waypoint,low,10,245,193,0.0
